,,,MIS  ,,CO,,,
ISIN,Symbol,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,CO Margin(%),CO Upper Trigger,CO Multiplier
ISIN,Symbol,Not listed in BSE,#N/A,#N/A,#N/A,#N/A,#N/A,
INE824G01012,JSWHL,532642,20.02,20.00,5,20.00,10,5
INE880J01026,JSWINFRA,543994,17.34,20.00,5,20.00,10,5
INE019A01038,JSWSTEEL,500228,13.08,20.00,5,20.00,10,5
INE643A01035,JTEKTINDIA,520057,20.12,20.00,5,20.00,10,5
INE391J01032,JTLIND,534600,27.34,20.00,5,20.00,10,5
INE03CC01015,JUBLCPL,544355,22.19,20.00,5,20.00,10,5
INE797F01020,JUBLFOOD,533155,16.81,20.00,5,20.00,10,5
INE0BY001018,JUBLINGREA,543271,19.25,20.00,5,20.00,10,5
INE700A01033,JUBLPHARMA,530019,16.46,20.00,5,20.00,10,5
INF732E01045,JUNIORBEES,590104,8.63,20.00,5,20.00,10,5
INE696F01016,JUNIPER,544129,17.39,20.00,5,20.00,10,5
INE599M01018,JUSTDIAL,535648,20.36,20.00,5,20.00,10,5
INE209L01016,JWL,533272,22.37,20.00,5,20.00,10,5
INE668F01031,JYOTHYLAB,532926,15.78,20.00,5,20.00,10,5
INE980O01024,JYOTICNC,544081,22.57,20.00,5,20.00,10,5
INE197A01024,JYOTISTRUC,513250,27.26,20.00,5,20.00,10,5
INE900B01029,KABRAEXTRU,524109,26.32,20.00,5,20.00,10,5
INE217B01036,KAJARIACER,500233,15.34,20.00,5,20.00,10,5
INE438K01021,KALAMANDIR,543989,21.50,20.00,5,20.00,10,5
INE227J01012,KALPATARU,544423,17.08,20.00,5,20.00,10,5
INE303R01014,KALYANKJIL,543278,24.15,20.00,5,20.00,10,5
INE411F01010,KAMAHOLD,532468,14.85,20.00,5,20.00,10,5
INE694E01014,KANPRPLA,507779,24.55,20.00,5,20.00,10,5
INE531A01024,KANSAINER,500165,14.72,20.00,5,20.00,10,5
INE542Z01028,KAPSTON,211859,20.80,20.00,5,20.00,10,5
INE036D01028,KARURVYSYA,590003,18.30,20.00,5,20.00,10,5
INE587G01015,KAYA,539276,23.44,20.00,5,20.00,10,5
INE918Z01012,KAYNES,543664,26.13,20.00,5,20.00,10,5
INE805C01028,KCP,590066,18.46,20.00,5,20.00,10,5
INE291D01011,KDDL,532054,23.04,20.00,5,20.00,10,5
INE389H01022,KEC,532714,19.23,20.00,5,20.00,10,5
INE134B01017,KECL,533193,24.23,20.00,5,20.00,10,5
INE878B01027,KEI,517569,18.55,20.00,5,20.00,10,5
INE164B01030,KELLTONTEC,519602,23.60,20.00,5,20.00,10,5
INE717A01029,KENNAMET,505890,20.21,20.00,5,20.00,10,5
INE202H01019,KERNEX,532686,28.27,20.00,5,20.00,10,5
INE138Y01010,KFINTECH,543720,19.76,20.00,5,20.00,10,5
INE029L01018,KICL,533302,17.57,20.00,5,20.00,10,5
INE967H01025,KIMS,543308,16.10,20.00,5,20.00,10,5
INE473D01015,KINGFA,524019,19.39,20.00,5,20.00,10,5
INE880L01014,KIOCL,540680,26.27,20.00,5,20.00,10,5
INE415I01015,KIRIINDUS,532967,22.13,20.00,5,20.00,10,5
INE884B01025,KIRLFER,500245,18.12,20.00,5,20.00,10,5
INE732A01036,KIRLOSBROS,500241,21.45,20.00,5,20.00,10,5
INE146L01010,KIRLOSENG,533293,22.79,20.00,5,20.00,10,5
INE250A01039,KIRLOSIND,500243,21.42,20.00,5,20.00,10,5
INE811A01020,KIRLPNU,505283,20.89,20.00,5,20.00,10,5
INE12F801023,KISSHT,544754,16.25,20.00,5,20.00,10,5
INE602G01020,KITEX,521248,25.98,20.00,5,20.00,10,5
INE401H01017,KKCL,532732,16.88,20.00,5,20.00,10,5
INE338F01015,KLBRENG-B,522101,16.93,20.00,5,20.00,10,5
INE879K01018,KMCSHIL,524520,19.49,20.00,5,20.00,10,5
INE0CJD01029,KMEW,543273,28.24,20.00,5,20.00,10,5
INE17QZ01016,KNACK,544814,12.50,20.00,5,20.00,10,5
INE634I01029,KNRCON,532942,19.34,20.00,5,20.00,10,5
INE094I01018,KOLTEPATIL,532924,17.76,20.00,5,20.00,10,5
INE237A01036,KOTAKBANK,500247,12.50,20.00,5,20.00,10,5
INE720A01015,KOTHARIPET,203356,20.79,20.00,5,20.00,10,5
INE972A01020,KOTIC,509732,25.00,20.00,5,20.00,10,5
INE177F01017,KOVAI,523323,14.97,20.00,5,20.00,10,5
INE127T01021,KPEL,539686,22.22,20.00,5,20.00,10,5
INE542W01025,KPIGREEN,542323,21.18,20.00,5,20.00,10,5
INE220B01022,KPIL,522287,16.55,20.00,5,20.00,10,5
INE04I401011,KPITTECH,542651,20.76,20.00,5,20.00,10,5
INE552U01010,KPL,539997,27.84,20.00,5,20.00,10,5
INE930H01031,KPRMILL,532889,20.43,20.00,5,20.00,10,5
INE001B01026,KRBL,530813,19.58,20.00,5,20.00,10,5
INE506W01020,KRISHANA,201480,22.85,20.00,5,20.00,10,5
INE0GGO01015,KRISHIVAL,544416,14.00,20.00,5,20.00,10,5
INE0J5601015,KRISHNADEF,208731,20.13,20.00,5,20.00,10,5
INE0ATZ01017,KRONOX,544187,20.43,20.00,5,20.00,10,5
INE0O6601022,KROSS,544253,22.54,20.00,5,20.00,10,5
INE08LI01020,KRSNAA,543328,16.34,20.00,5,20.00,10,5
INE999A01023,KSB,500249,16.30,20.00,5,20.00,10,5
INE455I01029,KSCL,532899,18.95,20.00,5,20.00,10,5
INE987S01020,KSHINTL,544664,20.52,20.00,5,20.00,10,5
INE907A01026,KSL,500235,19.03,20.00,5,20.00,10,5
INE0D6I01023,KSOLVES,543599,21.30,20.00,5,20.00,10,5
INE614B01018,KTKBANK,532652,16.77,20.00,5,20.00,10,5
INE529I01021,KUANTUM,532937,17.98,20.00,5,20.00,10,5
INE0ISX01025,KUSUMGAR,544821,25.00,20.00,5,20.00,10,5
INE2KCE01013,KWIL,544622,17.09,20.00,5,20.00,10,5
INE600L01024,LALPATHLAB,539524,15.42,20.00,5,20.00,10,5
INE559R01029,LANDMARK,543714,22.34,20.00,5,20.00,10,5
INE059D01020,LAOPALA,526947,15.61,20.00,5,20.00,10,5
INE17IR01028,LASERPOWER,544822,25.00,20.00,5,20.00,10,5
INE0I7C01011,LATENTVIEW,543398,21.30,20.00,5,20.00,10,5
INE947Q01028,LAURUSLABS,540222,16.36,20.00,5,20.00,10,5
INE0WO601020,LAXMIDENTL,544339,22.85,20.00,5,20.00,10,5
INE0QJW01029,LCL,544839,25.00,20.00,5,20.00,10,5
INE970X01018,LEMONTREE,541233,17.05,20.00,5,20.00,10,5
INE956O01016,LENSKART,544600,13.90,20.00,5,20.00,10,5
INE337A01034,LGBBROSLTD,500250,17.47,20.00,5,20.00,10,5
INE324D01010,LGEINDIA,544576,12.50,50.00,2,50.00,10,2
INE557B01019,LIBERTSHOE,526596,21.26,20.00,5,20.00,10,5
INE115A01026,LICHSGFIN,500253,14.34,20.00,5,20.00,10,5
INE0J1Y01017,LICI,543526,14.38,20.00,5,20.00,10,5
INF767K01SM1,LICMFGOLD,533719,15.20,20.00,5,20.00,10,5
INE405C01035,LINCOLN,531633,21.15,20.00,5,20.00,10,5
INE473A01011,LINDEINDIA,523457,15.98,20.00,5,20.00,10,5
INF204KC1FU1,LIQGRWBEES,Not listed in BSE,8.00,20.00,5,20.00,10,5
INF769K01KS1,LIQUID,543946,8.00,20.00,5,20.00,10,5
INF174KA1LV5,LIQUID1,590139,8.00,20.00,5,20.00,10,5
INF740KA1UM0,LIQUIDADD,544159,8.00,20.00,5,20.00,10,5
INF732E01037,LIQUIDBEES,590096,8.00,20.00,5,20.00,10,5
INF0QA701854,LIQUIDBETF,544182,8.00,20.00,5,20.00,10,5
INF0R8F01034,LIQUIDCASE,544089,8.00,20.00,5,20.00,10,5
INF740KA1EU7,LIQUIDETF,541097,8.00,20.00,5,20.00,10,5
INF109KC1KT9,LIQUIDIETF,541946,8.00,20.00,5,20.00,10,5
INF769K01MY5,LIQUIDPLUS,544284,8.00,20.00,5,20.00,10,5
INE093R01011,LLOYDSENGG,539992,26.02,20.00,5,20.00,10,5
INE080I01025,LLOYDSENT,512463,26.04,20.00,5,20.00,10,5
INE281B01032,LLOYDSME,512455,18.91,20.00,5,20.00,10,5
INE269B01029,LMW,500252,15.69,20.00,5,20.00,10,5
INE670K01029,LODHA,543287,20.03,20.00,5,20.00,10,5
INF174KA1IY5,LOWVOL1,Not listed in BSE,8.13,20.00,5,20.00,10,5
INF109KC19U5,LOWVOLIETF,540612,8.00,20.00,5,20.00,10,5
INE018A01030,LT,500510,13.76,20.00,5,20.00,10,5
INE498L01015,LTF,533519,17.38,20.00,5,20.00,10,5
INE818H01020,LTFOODS,532783,19.79,20.00,5,20.00,10,5
INF204KB1882,LTGILTBEES,590143,8.00,20.00,5,20.00,10,5
INF0R8F01133,LTGILTCASE,544486,8.00,20.00,5,20.00,10,5
INE214T01019,LTM,540005,16.87,20.00,5,20.00,10,5
INE010V01017,LTTS,540115,17.76,20.00,5,20.00,10,5
INE162B01018,LUMAXIND,517206,22.55,20.00,5,20.00,10,5
INE872H01027,LUMAXTECH,532796,23.72,20.00,5,20.00,10,5
INE326A01037,LUPIN,500257,12.69,20.00,5,20.00,10,5
INE150G01020,LUXIND,539542,22.06,20.00,5,20.00,10,5
INE576O01020,LXCHEM,543277,21.70,20.00,5,20.00,10,5
INE101A01026,M&M,500520,15.01,20.00,5,20.00,10,5
INE774D01024,M&MFIN,532720,19.28,20.00,5,20.00,10,5
INE155Z01011,MACPOWER,203119,26.22,20.00,5,20.00,10,5
INE347W01011,MAGADSUGAR,540650,19.14,20.00,5,20.00,10,5
INE457A01014,MAHABANK,532525,18.13,20.00,5,20.00,10,5
INE813A01018,MAHLIFE,532313,16.43,20.00,5,20.00,10,5
INE766P01016,MAHLOG,540768,18.94,20.00,5,20.00,10,5
INE288A01013,MAHSCOOTER,500266,17.05,20.00,5,20.00,10,5
INE271B01025,MAHSEAMLES,500265,15.23,20.00,5,20.00,10,5
INE683C01011,MAITHANALL,590078,18.74,20.00,5,20.00,10,5
INE0TO701015,MAMATA,544318,20.34,20.00,5,20.00,10,5
INE830Q01018,MANAKCOAT,539046,22.96,20.00,5,20.00,10,5
INE201A01024,MANALIPETC,500268,21.10,20.00,5,20.00,10,5
INE522D01027,MANAPPURAM,531213,17.77,20.00,5,20.00,10,5
INE939X01013,MANBA,544262,15.91,20.00,5,20.00,10,5
INE545L01039,MANCREDIT,505850,17.97,20.00,5,20.00,10,5
INE347A01017,MANGLMCEM,502157,16.26,20.00,5,20.00,10,5
INE993A01026,MANINDS,513269,25.94,20.00,5,20.00,10,5
INE949H01023,MANINFRA,533169,20.22,20.00,5,20.00,10,5
INE459N01021,MANIPALHOS,544847,12.50,20.00,5,20.00,10,5
INE634S01028,MANKIND,543904,14.51,20.00,5,20.00,10,5
INE784W01015,MANOMAY,540396,23.72,20.00,5,20.00,10,5
INE00VM01036,MANORAMA,541974,22.24,20.00,5,20.00,10,5
INE825V01034,MANYAVAR,543463,18.02,20.00,5,20.00,10,5
INE0BV301023,MAPMYINDIA,543425,22.19,20.00,5,20.00,10,5
INE182D01020,MARATHON,503101,20.62,20.00,5,20.00,10,5
INE196A01026,MARICO,531642,12.50,20.00,5,20.00,10,5
INE01JE01028,MARINE,207697,25.09,20.00,5,20.00,10,5
INE0FW001016,MARKOLINES,543364,21.00,20.00,5,20.00,10,5
INE750C01026,MARKSANS,524404,21.66,20.00,5,20.00,10,5
INE415B01044,MARSONS,517467,23.90,20.00,5,20.00,10,5
INE585B01010,MARUTI,532500,12.93,20.00,5,20.00,10,5
INE348L01012,MASFIN,540749,15.44,20.00,5,20.00,10,5
INF769K01HP3,MASPTOP50,543365,10.56,20.00,5,20.00,10,5
INE759A01021,MASTEK,523704,19.17,20.00,5,20.00,10,5
INE677D01037,MASTERTR,511768,28.86,20.00,5,20.00,10,5
INE866R01028,MATRIMONY,540704,16.60,20.00,5,20.00,10,5
INE03EI01018,MAXESTATES,544008,20.27,20.00,5,20.00,10,5
INE027H01010,MAXHEALTH,543220,15.21,20.00,5,20.00,10,5
INE0CG601016,MAXIND,543223,21.99,20.00,5,20.00,10,5
INE040D01038,MAYURUNIQ,522249,19.16,20.00,5,20.00,10,5
INE249Z01020,MAZDOCK,543237,20.30,20.00,5,20.00,10,5
INE900L01028,MBAPL,203569,20.68,20.00,5,20.00,10,5
INE08N601015,MBEL,544470,21.75,20.00,5,20.00,10,5
INE613C01026,MCLOUD,538891,31.20,20.00,5,20.00,10,5
INE745G01043,MCX,534091,19.65,20.00,5,20.00,10,5
INE474Q01031,MEDANTA,543654,15.38,20.00,5,20.00,10,5
INE456Z01021,MEDIASSIST,544088,18.79,20.00,5,20.00,10,5
INE630Y01024,MEDICO,540937,23.94,20.00,5,20.00,10,5
INE804L01022,MEDPLUS,543427,16.42,20.00,5,20.00,10,5
INE0VDM01015,MEESHO,544632,19.94,20.00,5,20.00,10,5
INE00EM01016,MEGASTAR,541352,22.18,20.00,5,20.00,10,5
INE650G01029,MENNPIS,531727,25.00,20.00,5,20.00,10,5
INF769K01LY7,METAL,544268,12.50,20.00,5,20.00,10,5
INF109KC19W1,METALIETF,544229,12.50,20.00,5,20.00,10,5
INE317I01021,METROBRAND,543426,15.49,20.00,5,20.00,10,5
INE112L01020,METROPOLIS,542650,15.92,20.00,5,20.00,10,5
INE180A01020,MFSL,500271,14.08,20.00,5,20.00,10,5
INE002S01010,MGL,539957,16.60,20.00,5,20.00,10,5
INE998I01010,MHRIL,533088,15.97,20.00,5,20.00,10,5
INF204KB1V68,MID150BEES,590144,8.53,20.00,5,20.00,10,5
INF0R8F01059,MID150CASE,544193,8.13,20.00,5,20.00,10,5
INF769K01IC9,MIDCAPETF,543481,8.65,20.00,5,20.00,10,5
INF109KC11W8,MIDCAPIETF,542921,8.51,20.00,5,20.00,10,5
INE099Z01011,MIDHANI,541195,21.32,20.00,5,20.00,10,5
INF769K01LJ8,MIDSMALL,544180,9.00,20.00,5,20.00,10,5
INE0XAD01024,MIDWESTLTD,544587,19.12,20.00,5,20.00,10,5
INE898Q01015,MIIL,538668,20.00,20.00,5,20.00,10,5
INE842C01021,MINDACORP,538962,17.15,20.00,5,20.00,10,5
INE110B01017,MINDTECK,517344,24.74,20.00,5,20.00,10,5
INE771A01026,MIRZAINT,526642,22.04,20.00,5,20.00,10,5
INE227C01017,MMFL,522241,19.95,20.00,5,20.00,10,5
INE511Y01018,MMP,203210,21.40,20.00,5,20.00,10,5
INE123F01029,MMTC,513377,22.98,20.00,5,20.00,10,5
INE0HLU01028,MOBIKWIK,544305,23.82,20.00,5,20.00,10,5
INF247L01EV3,MOCAPITAL,590149,12.72,20.00,5,20.00,10,5
INF247L01DJ0,MODEFENCE,590152,13.55,20.00,5,20.00,10,5
INE0L0L01012,MODIS,543539,19.04,20.00,5,20.00,10,5
INF247L01FY4,MOGOLD,590146,13.54,20.00,5,20.00,10,5
INE490G01020,MOIL,533286,19.58,20.00,5,20.00,10,5
INE0CT101020,MOL,543331,22.59,20.00,5,20.00,10,5
INE893J01029,MOLDTKPAC,533080,18.88,20.00,5,20.00,10,5
INF247L01023,MOM100,536960,8.77,20.00,5,20.00,10,5
INF109KC17C7,MOM30IETF,543568,9.34,20.00,5,20.00,10,5
INF247L01DK8,MOMENTUM50,590151,9.32,20.00,5,20.00,10,5
INE903D01011,MONARCH,511551,18.82,20.00,5,20.00,10,5
INF247L01BU1,MONIFTY500,590153,8.00,20.00,5,20.00,10,5
INE950M01013,MONTECARLO,538836,17.21,20.00,5,20.00,10,5
INF247L01CI4,MOREALTY,590150,14.09,20.00,5,20.00,10,5
INE083A01026,MOREPENLAB,500288,26.10,20.00,5,20.00,10,5
INE935B01025,MOSCHIP,532407,25.93,20.00,5,20.00,10,5
INF247L01FZ1,MOSILVER,590147,23.38,20.00,5,20.00,10,5
INF247L01CH6,MOSMALL250,590148,9.01,20.00,5,20.00,10,5
INE775A01035,MOTHERSON,517334,17.95,20.00,5,20.00,10,5
INE338I01027,MOTILALOFS,532892,20.94,20.00,5,20.00,10,5
INE0FRK01020,MOTISONS,544053,23.95,20.00,5,20.00,10,5
INF247L01BE5,MOVALUE,543576,9.51,20.00,5,20.00,10,5
INE356A01018,MPHASIS,526299,16.08,20.00,5,20.00,10,5
INE943D01017,MPSLTD,532440,23.93,20.00,5,20.00,10,5
INE883A01011,MRF,500290,12.83,20.00,5,20.00,10,5
INE103A01014,MRPL,500109,23.91,20.00,5,20.00,10,5
INE752G01015,MSPL,532650,21.68,20.00,5,20.00,10,5
INE255X01014,MSTCLTD,542597,23.57,20.00,5,20.00,10,5
INE0FS801015,MSUMI,543498,15.53,20.00,5,20.00,10,5
INE153A01019,MTNL,500108,22.99,20.00,5,20.00,10,5
INE08KJ01020,MUFIN,542774,19.75,20.00,5,20.00,10,5
INE304A01026,MUKANDLTD,500460,19.23,20.00,5,20.00,10,5
INE672B01032,MUNJALAU,520059,22.21,20.00,5,20.00,10,
INE577A01027,MUNJALSHOW,520043,16.45,20.00,5,20.00,10,
INE414G01012,MUTHOOTFIN,533398,18.14,20.00,5,20.00,10,
INE046W01019,MUTHOOTMF,544055,21.38,20.00,5,20.00,10,
INE0OWZ01020,MVELECTRO,544851,25.00,20.00,5,20.00,10,
INE0KNT01012,MVGJL,543995,20.77,20.00,5,20.00,10,
INE0JYY01029,MWL,544764,15.06,20.00,5,20.00,10,
INE295D01020,NACLIND,524709,28.61,20.00,5,20.00,10,
INE290A01027,NAHARSPING,500296,25.00,20.00,5,20.00,10,
INE298J01013,NAM-INDIA,540767,19.67,20.00,5,20.00,10,
INE117Z01029,NARMADA,543643,26.06,20.00,5,20.00,10,
INE987B01026,NATCOPHARM,524816,19.07,20.00,5,20.00,10,
INE139A01034,NATIONALUM,532234,20.62,20.00,5,20.00,10,
INE663F01032,NAUKRI,532777,16.42,20.00,5,20.00,10,
INE725A01030,NAVA,513023,20.38,20.00,5,20.00,10,
INE048G01026,NAVINFLUOR,532504,17.80,20.00,5,20.00,10,
INE278M01019,NAVKARCORP,539332,23.33,20.00,5,20.00,10,
INE060A01024,NAVNETEDUL,508989,17.62,20.00,5,20.00,10,
INE418L01047,NAZARA,543280,19.38,20.00,5,20.00,10,
INE095N01031,NBCC,534309,19.37,20.00,5,20.00,10,
INE365I01020,NBIFIN,201684,25.00,20.00,5,20.00,10,
INE868B01028,NCC,500294,17.18,20.00,5,20.00,10,
INE07OG01012,NDRAUTO,543214,22.86,20.00,5,20.00,10,
INE155G01029,NDTV,532529,21.70,20.00,5,20.00,10,
INE189I01024,NELCAST,532864,26.17,20.00,5,20.00,10,
INE045B01015,NELCO,504112,22.78,20.00,5,20.00,10,
INE136S01016,NEOGEN,542665,23.63,20.00,5,20.00,10,
INE428V01029,NEPHROPLUS,544647,16.44,20.00,5,20.00,10,
INE317F01035,NESCO,505355,16.64,20.00,5,20.00,10,
INE239A01024,NESTLEIND,500790,12.50,20.00,5,20.00,10,
INE0NT901020,NETWEB,543945,26.65,20.00,5,20.00,10,
INE870H01013,NETWORK18,532798,20.35,20.00,5,20.00,10,
INE794A01010,NEULANDLAB,524558,21.92,20.00,5,20.00,10,
INE619B01017,NEWGEN,540900,26.54,20.00,5,20.00,10,
INF769K01FN2,NEXT50,542922,9.00,20.00,5,20.00,10,
INF789F1AUW9,NEXT50BETA,540669,8.99,20.00,5,20.00,10,
INF109KC1NS5,NEXT50IETF,541809,8.63,20.00,5,20.00,10,
INE870D01012,NFL,523630,17.74,20.00,5,20.00,10,
INE887E01022,NGLFINE,524774,26.48,20.00,5,20.00,10,
INE410P01011,NH,539551,15.74,20.00,5,20.00,10,
INE848E01016,NHPC,533098,14.59,20.00,5,20.00,10,
INE470Y01017,NIACL,540769,22.29,20.00,5,20.00,10,
INE149O01018,NIBE,535136,26.02,20.00,5,20.00,10,
INF204K014N5,NIF100BEES,537483,8.00,20.00,5,20.00,10,
INF174K014P6,NIFTY1,537708,8.00,20.00,5,20.00,10,
INF846K01W98,NIFTYAXIS,Not listed in BSE,8.00,20.00,5,20.00,10,
INF204KB14I2,NIFTYBEES,590103,8.00,20.00,5,20.00,10,
INF789F1AZC0,NIFTYBETA,539313,8.00,20.00,5,20.00,10,
INF0R8F01166,NIFTYCASE,544586,8.00,20.00,5,20.00,10,
INF769K01EG9,NIFTYETF,542131,8.00,20.00,5,20.00,10,
INF109K012R6,NIFTYIETF,537007,8.00,20.00,5,20.00,10,
INE161A01038,NIITLTD,500304,26.62,20.00,5,20.00,10,
INE342G01023,NIITMTS,543952,19.68,20.00,5,20.00,10,
INE310A01015,NILKAMAL,523385,17.02,20.00,5,20.00,10,
INE910A01012,NIRLON,500307,12.50,20.00,5,20.00,10,
INE858F01012,NITCO,532722,24.60,20.00,5,20.00,10,
INE229H01012,NITINSPIN,532698,18.80,20.00,5,20.00,10,
INE265B01019,NITTAGELA,506532,22.99,20.00,5,20.00,10,
INE995S01015,NIVABUPA,544286,14.40,20.00,5,20.00,10,
INE589A01014,NLCINDIA,513683,19.67,20.00,5,20.00,10,
INE584A01023,NMDC,526371,15.51,20.00,5,20.00,10,
INE163A01018,NOCIL,500730,20.49,20.00,5,20.00,10,
INE850M01015,NORTHARC,544260,19.22,20.00,5,20.00,10,
INE234A01025,NOVARTIND,500672,20.14,20.00,5,20.00,10,
INE0FFK01017,NPST,544396,25.26,20.00,5,20.00,10,
INE740D01017,NRAIL,516082,23.11,20.00,5,20.00,10,
INE349A01021,NRBBEARING,530367,19.90,20.00,5,20.00,10,
INE301O01023,NSDL,544467,13.68,20.00,5,20.00,10,
INE023A01030,NSIL,532256,17.33,20.00,5,20.00,10,
INE0NNS01018,NSLNISP,543768,19.32,20.00,5,20.00,10,
INE733E01010,NTPC,532555,12.50,20.00,5,20.00,10,
INE0ONG01011,NTPCGREEN,544289,15.31,20.00,5,20.00,10,
INE096B01018,NUCLEUS,531209,20.01,20.00,5,20.00,10,
INE531F01023,NUVAMA,543988,19.90,20.00,5,20.00,10,
INE118D01016,NUVOCO,543334,17.63,20.00,5,20.00,10,
INE388Y01029,NYKAA,543384,15.00,20.00,5,20.00,10,
INE959C01023,OAL,500078,22.41,20.00,5,20.00,10,
INE093I01010,OBEROIRLTY,533273,15.23,20.00,5,20.00,10,
INE881D01027,OFSS,532466,17.33,20.00,5,20.00,10,
INE274J01014,OIL,533106,17.47,20.00,5,20.00,10,
INF109KC18W3,OILIETF,544216,12.50,20.00,5,20.00,10,
INE0LXG01040,OLAELEC,544225,28.05,20.00,5,20.00,10,
INE260D01016,OLECTRA,532439,22.00,20.00,5,20.00,10,
INE800H01010,OMAXE,532880,23.43,20.00,5,20.00,10,
INE239D01028,OMINFRAL,531092,21.24,20.00,5,20.00,10,
INE0UH301010,OMNI,544720,24.78,50.00,2,50.00,10,
INE25E901019,OMPOWER,544750,12.50,20.00,5,20.00,10,
INE840Y01029,ONEPOINT,544748,21.55,20.00,5,20.00,10,
INE013P01021,ONESOURCE,544292,20.12,20.00,5,20.00,10,
INE213A01029,ONGC,500312,13.75,20.00,5,20.00,10,
INE229A01017,ONWARDTEC,517536,23.00,20.00,5,20.00,10,
INE350C01017,OPTIEMUS,530135,24.92,20.00,5,20.00,10,
INE191A01027,ORCHPHARMA,524372,22.24,20.00,5,20.00,10,
INE876N01018,ORIENTCEM,535754,17.49,20.00,5,20.00,10,
INE142Z01019,ORIENTELEC,541301,18.67,20.00,5,20.00,10,
INE750A01020,ORIENTHOT,500314,23.16,20.00,5,20.00,10,
INE0PPK01015,ORIENTTECH,544235,26.45,20.00,5,20.00,10,
INE725E01024,ORISSAMINE,590086,21.04,20.00,5,20.00,10,
INE16NZ01023,ORKLAINDIA,544595,12.50,20.00,5,20.00,10,
INE0BYP01024,OSWALPUMPS,544418,20.26,20.00,5,20.00,10,
INE0S3G01027,PACEDIGITK,544550,18.05,20.00,5,20.00,10,
INE761H01022,PAGEIND,532827,13.17,20.00,5,20.00,10,
INE420C01059,PAISALO,532900,22.26,20.00,5,20.00,10,
INE922B01023,PANACEABIO,531349,27.56,20.00,5,20.00,10,
INE305C01029,PANAMAPET,524820,24.13,20.00,5,20.00,10,
INE258R01028,PANORAMA,539469,26.44,20.00,5,20.00,10,
INE697V01011,PANSARI,201657,25.00,20.00,5,20.00,10,
INE074B01023,PARACABLES,530555,28.36,20.00,5,20.00,10,
INE088F01024,PARADEEP,543530,21.84,20.00,5,20.00,10,
INE883N01014,PARAGMILK,539889,21.90,20.00,5,20.00,10,
INE045601023,PARAS,543367,25.98,20.00,5,20.00,10,
INE119201023,PARKHOSPS,544645,17.00,20.00,5,20.00,10,
INE988S01028,PARKHOTELS,544111,17.93,20.00,5,20.00,10,
INE619A01035,PATANJALI,500368,15.38,20.00,5,20.00,10,
INE244B01030,PATELENG,531120,20.99,20.00,5,20.00,10,
INE0R8B01010,PATELRMART,544487,19.55,20.00,5,20.00,10,
INE111F01024,PAUSHAKLTD,532742,23.86,20.00,5,20.00,10,
INE982J01020,PAYTM,543396,21.08,20.00,5,20.00,10,
INE602A01031,PCBL,506590,23.09,20.00,5,20.00,10,
INE785M01021,PCJEWELLER,534809,24.04,20.00,5,20.00,10,
INE865T01018,PDMJEPAPER,539785,20.11,20.00,5,20.00,10,
INE111Q01021,PDSL,538730,19.90,20.00,5,20.00,10,
INE932A01024,PENIND,513228,23.83,20.00,5,20.00,10,
INE262H01021,PERSISTENT,533179,18.24,20.00,5,20.00,10,
INE347G01014,PETRONET,532522,15.53,20.00,5,20.00,10,
INE134E01011,PFC,532810,16.60,20.00,5,20.00,10,
INE182A01018,PFIZER,500680,13.17,20.00,5,20.00,10,
INE367G01038,PFOCUS,532748,27.06,20.00,5,20.00,10,
INE560K01014,PFS,533344,18.92,20.00,5,20.00,10,
INE457L01029,PGEL,533581,24.36,20.00,5,20.00,10,
INE179A01014,PGHH,500459,12.50,20.00,5,20.00,10,
INE199A01012,PGHL,500126,13.53,20.00,5,20.00,10,
INE940H01022,PGIL,532808,25.24,20.00,5,20.00,10,
INF204KC1089,PHARMABEES,590142,12.50,20.00,5,20.00,10,
INE211B01039,PHOENIXLTD,503100,16.24,20.00,5,20.00,10,
INE546C01010,PICCADIL,530305,21.58,20.00,5,20.00,10,
INE318A01026,PIDILITIND,500331,12.50,20.00,5,20.00,10,
INE603J01030,PIIND,523642,14.45,20.00,5,20.00,10,
INE417C01014,PILANIINVS,539883,16.59,20.00,5,20.00,10,
INE15B701018,PINELABS,544606,19.01,20.00,5,20.00,10,
INE202B01038,PIRAMALFIN,544597,13.85,20.00,5,20.00,10,
INE450D01021,PITTIENG,513519,19.08,20.00,5,20.00,10,
INE751B01018,PIXTRANS,500333,20.50,20.00,5,20.00,10,
INE083C01022,PLASTIBLEN,523648,18.54,20.00,5,20.00,10,
INE0PT501018,PLATIND,544134,21.75,20.00,5,20.00,10,
INE160A01022,PNB,532461,15.14,20.00,5,20.00,10,
INE859A01011,PNBGILTS,532366,20.58,20.00,5,20.00,10,
INE572E01012,PNBHOUSING,540173,18.27,20.00,5,20.00,10,
INE195J01029,PNCINFRA,539150,18.28,20.00,5,20.00,10,
INE953R01016,PNGJL,544256,17.85,20.00,5,20.00,10,
INE1RDG01013,PNGSREVA,544718,17.33,20.00,5,20.00,10,
INE063E01061,POCL,532626,25.35,20.00,5,20.00,10,
INE637C01025,POKARNA,532486,25.62,20.00,5,20.00,10,
INE417T01026,POLICYBZR,543390,17.94,20.00,5,20.00,10,
INE455K01017,POLYCAB,542652,16.50,20.00,5,20.00,10,
INE205C01021,POLYMED,531768,21.11,20.00,5,20.00,10,
